,channel 3
Revision:           ,0
Type:               ,AVERage
Start:              ,0
Points:             ,1000
Count:              ,256
XDispRange:         ,2.00000E-09
XDispOrg:           ,-1.000000000E-09
XInc:               ,2.5000000E-11
XOrg:               ,-1.2488281250E-08
Units:              ,second
YDispRange:         ,1.60000E+00
YDispOrg:           ,0.0E+00
YInc:               ,2.6346393715428E-05
YOrg:               ,2.32918581226613E-02
Units:              ,Volt
Frame:              ,DSO80804B:
Date:               ,8 MAR 2017
Time:               ,14:01:47
Max Bandwidth:      ,8000000000
Min Bandwidth:      ,0
Time Tags (channel 3),channel 3
-7.96328E-09,2.1E-03
-7.93828E-09,2.0E-03
-7.91328E-09,1.8E-03
-7.88828E-09,1.5E-03
-7.86328E-09,1.3E-03
-7.83828E-09,1.3E-03
-7.81328E-09,1.3E-03
-7.78828E-09,1.4E-03
-7.76328E-09,1.6E-03
-7.73828E-09,1.7E-03
-7.71328E-09,1.6E-03
-7.68828E-09,1.5E-03
-7.66328E-09,1.6E-03
-7.63828E-09,1.7E-03
-7.61328E-09,1.9E-03
-7.58828E-09,1.7E-03
-7.56328E-09,1.3E-03
-7.53828E-09,1.2E-03
-7.51328E-09,1.3E-03
-7.48828E-09,1.7E-03
-7.46328E-09,1.8E-03
-7.43828E-09,1.7E-03
-7.41328E-09,1.5E-03
-7.38828E-09,1.4E-03
-7.36328E-09,1.5E-03
-7.33828E-09,1.7E-03
-7.31328E-09,1.7E-03
-7.28828E-09,1.6E-03
-7.26328E-09,1.7E-03
-7.23828E-09,1.7E-03
-7.21328E-09,1.7E-03
-7.18828E-09,1.6E-03
-7.16328E-09,1.6E-03
-7.13828E-09,1.7E-03
-7.11328E-09,1.7E-03
-7.08828E-09,1.7E-03
-7.06328E-09,1.7E-03
-7.03828E-09,1.8E-03
-7.01328E-09,1.7E-03
-6.98828E-09,1.6E-03
-6.96328E-09,1.3E-03
-6.93828E-09,1.3E-03
-6.91328E-09,1.5E-03
-6.88828E-09,1.7E-03
-6.86328E-09,1.6E-03
-6.83828E-09,1.3E-03
-6.81328E-09,1.2E-03
-6.78828E-09,1.3E-03
-6.76328E-09,1.6E-03
-6.73828E-09,1.7E-03
-6.71328E-09,1.6E-03
-6.68828E-09,1.3E-03
-6.66328E-09,1.2E-03
-6.63828E-09,1.5E-03
-6.61328E-09,1.9E-03
-6.58828E-09,2.1E-03
-6.56328E-09,2.0E-03
-6.53828E-09,1.7E-03
-6.51328E-09,1.4E-03
-6.48828E-09,1.3E-03
-6.46328E-09,1.5E-03
-6.43828E-09,1.6E-03
-6.41328E-09,1.6E-03
-6.38828E-09,1.5E-03
-6.36328E-09,1.3E-03
-6.33828E-09,1.3E-03
-6.31328E-09,1.4E-03
-6.28828E-09,1.6E-03
-6.26328E-09,1.7E-03
-6.23828E-09,1.7E-03
-6.21328E-09,1.5E-03
-6.18828E-09,1.3E-03
-6.16328E-09,1.2E-03
-6.13828E-09,1.4E-03
-6.11328E-09,1.7E-03
-6.08828E-09,1.8E-03
-6.06328E-09,1.7E-03
