,channel 3
Revision:           ,0
Type:               ,AVERage
Start:              ,0
Points:             ,1000
Count:              ,256
XDispRange:         ,2.00000E-09
XDispOrg:           ,-1.000000000E-09
XInc:               ,2.5000000E-11
XOrg:               ,-1.2488281250E-08
Units:              ,second
YDispRange:         ,1.60000E+00
YDispOrg:           ,0.0E+00
YInc:               ,2.6346393715428E-05
YOrg:               ,2.32918581226613E-02
Units:              ,Volt
Frame:              ,DSO80804B:
Date:               ,8 MAR 2017
Time:               ,14:01:47
Max Bandwidth:      ,8000000000
Min Bandwidth:      ,0
Time Tags (channel 3),channel 3
7.61172E-09,1.9E-03
7.63672E-09,2.1E-03
7.66172E-09,1.8E-03
7.68672E-09,1.3E-03
7.71172E-09,1.1E-03
7.73672E-09,1.2E-03
7.76172E-09,1.5E-03
7.78672E-09,1.5E-03
7.81172E-09,1.3E-03
7.83672E-09,1.3E-03
7.86172E-09,1.6E-03
7.88672E-09,1.8E-03
7.91172E-09,1.9E-03
7.93672E-09,1.6E-03
7.96172E-09,1.4E-03
7.98672E-09,1.4E-03
8.01172E-09,1.6E-03
8.03672E-09,1.7E-03
8.06172E-09,1.6E-03
8.08672E-09,1.5E-03
8.11172E-09,1.3E-03
8.13672E-09,1.3E-03
8.16172E-09,1.4E-03
8.18672E-09,1.5E-03
8.21172E-09,1.5E-03
8.23672E-09,1.5E-03
8.26172E-09,1.5E-03
8.28672E-09,1.5E-03
8.31172E-09,1.4E-03
8.33672E-09,1.4E-03
8.36172E-09,1.5E-03
8.38672E-09,1.5E-03
8.41172E-09,1.5E-03
8.43672E-09,1.6E-03
8.46172E-09,1.6E-03
8.48672E-09,1.7E-03
8.51172E-09,1.8E-03
8.53672E-09,1.8E-03
8.56172E-09,1.7E-03
8.58672E-09,1.6E-03
8.61172E-09,1.5E-03
8.63672E-09,1.5E-03
8.66172E-09,1.5E-03
8.68672E-09,1.6E-03
8.71172E-09,1.7E-03
8.73672E-09,1.6E-03
8.76172E-09,1.4E-03
8.78672E-09,1.2E-03
8.81172E-09,1.2E-03
8.83672E-09,1.3E-03
8.86172E-09,1.4E-03
8.88672E-09,1.5E-03
8.91172E-09,1.5E-03
8.93672E-09,1.6E-03
8.96172E-09,1.7E-03
8.98672E-09,1.6E-03
9.01172E-09,1.5E-03
9.03672E-09,1.5E-03
9.06172E-09,1.7E-03
9.08672E-09,1.9E-03
9.11172E-09,2.0E-03
9.13672E-09,1.7E-03
9.16172E-09,1.3E-03
9.18672E-09,1.3E-03
9.21172E-09,1.6E-03
9.23672E-09,1.8E-03
9.26172E-09,1.7E-03
9.28672E-09,1.4E-03
9.31172E-09,1.1E-03
9.33672E-09,1.1E-03
9.36172E-09,1.2E-03
9.38672E-09,1.3E-03
9.41172E-09,1.2E-03
9.43672E-09,1.1E-03
9.46172E-09,1.3E-03
9.48672E-09,1.7E-03
9.51172E-09,2.0E-03
9.53672E-09,1.9E-03
9.56172E-09,1.6E-03
9.58672E-09,1.3E-03
9.61172E-09,1.3E-03
9.63672E-09,1.3E-03
9.66172E-09,1.3E-03
9.68672E-09,1.3E-03
9.71172E-09,1.3E-03
9.73672E-09,1.4E-03
9.76172E-09,1.5E-03
9.78672E-09,1.3E-03
9.81172E-09,1.1E-03
9.83672E-09,1.0E-03
9.86172E-09,1.1E-03
9.88672E-09,1.2E-03
9.91172E-09,1.2E-03
9.93672E-09,1.2E-03
9.96172E-09,1.2E-03
9.98672E-09,1.2E-03
1.001172E-08,1.3E-03
1.003672E-08,1.3E-03
1.006172E-08,1.3E-03
1.008672E-08,1.6E-03
1.011172E-08,1.7E-03
1.013672E-08,1.6E-03
1.016172E-08,1.3E-03
1.018672E-08,9E-04
1.021172E-08,8E-04
1.023672E-08,1.0E-03
1.026172E-08,1.1E-03
1.028672E-08,1.2E-03
1.031172E-08,1.2E-03
1.033672E-08,1.3E-03
1.036172E-08,1.3E-03
1.038672E-08,1.4E-03
1.041172E-08,1.4E-03
1.043672E-08,1.3E-03
1.046172E-08,1.3E-03
1.048672E-08,1.3E-03
1.051172E-08,1.5E-03
1.053672E-08,1.8E-03
1.056172E-08,1.8E-03
1.058672E-08,1.7E-03
1.061172E-08,1.6E-03
1.063672E-08,1.7E-03
1.066172E-08,1.9E-03
1.068672E-08,2.0E-03
1.071172E-08,1.7E-03
1.073672E-08,1.5E-03
1.076172E-08,1.4E-03
1.078672E-08,1.7E-03
1.081172E-08,1.9E-03
1.083672E-08,1.8E-03
1.086172E-08,1.6E-03
1.088672E-08,1.5E-03
1.091172E-08,1.5E-03
1.093672E-08,1.5E-03
1.096172E-08,1.4E-03
1.098672E-08,1.3E-03
1.101172E-08,1.3E-03
1.103672E-08,1.5E-03
1.106172E-08,1.5E-03
1.108672E-08,1.4E-03
1.111172E-08,1.4E-03
1.113672E-08,1.6E-03
1.116172E-08,1.7E-03
1.118672E-08,1.6E-03
1.121172E-08,1.5E-03
1.123672E-08,1.6E-03
1.126172E-08,1.7E-03
1.128672E-08,1.8E-03
1.131172E-08,1.7E-03
1.133672E-08,1.4E-03
1.136172E-08,1.2E-03
1.138672E-08,1.3E-03
1.141172E-08,1.6E-03
1.143672E-08,1.8E-03
1.146172E-08,1.7E-03
1.148672E-08,1.5E-03
1.151172E-08,1.3E-03
1.153672E-08,1.2E-03
1.156172E-08,1.1E-03
1.158672E-08,1.0E-03
1.161172E-08,1.0E-03
1.163672E-08,1.1E-03
1.166172E-08,1.3E-03
1.168672E-08,1.5E-03
1.171172E-08,1.5E-03
1.173672E-08,1.3E-03
1.176172E-08,1.1E-03
1.178672E-08,1.1E-03
1.181172E-08,1.2E-03
1.183672E-08,1.4E-03
1.186172E-08,1.6E-03
1.188672E-08,1.8E-03
1.191172E-08,1.8E-03
1.193672E-08,1.6E-03
1.196172E-08,1.4E-03
1.198672E-08,1.3E-03
1.201172E-08,1.6E-03
1.203672E-08,1.8E-03
1.206172E-08,1.8E-03
1.208672E-08,1.7E-03
1.211172E-08,1.5E-03
1.213672E-08,1.5E-03
1.216172E-08,1.5E-03
1.218672E-08,1.6E-03
1.221172E-08,1.7E-03
1.223672E-08,1.8E-03
1.226172E-08,1.8E-03
1.228672E-08,1.9E-03
1.231172E-08,1.8E-03
1.233672E-08,1.7E-03
1.236172E-08,1.6E-03
1.238672E-08,1.5E-03
1.241172E-08,1.5E-03
1.243672E-08,1.5E-03
1.246172E-08,1.4E-03
1.248672E-08,1.4E-03
